movieID,genreID
tt0111161,g00
tt0468569,g01
tt0468569,g02
tt0468569,g00
tt1375666,g01
tt1375666,g03
tt1375666,g04
tt0137523,g00
tt0109830,g00
tt0109830,g05
tt0110912,g02
tt0110912,g00
tt0133093,g01
tt0133093,g04
tt0120737,g01
tt0120737,g03
tt0120737,g00
tt0816692,g03
tt0816692,g00
tt0816692,g04
tt0167260,g01
tt0167260,g03
tt0167260,g00
tt1345836,g01
tt1345836,g00
tt1345836,g06
tt0167261,g01
tt0167261,g03
tt0167261,g00
tt0114369,g02
tt0114369,g00
tt0114369,g07
tt1853728,g00
tt1853728,g08
tt0172495,g01
tt0172495,g03
tt0172495,g00
tt0372784,g01
tt0372784,g02
tt0372784,g00
tt0361748,g03
tt0361748,g00
tt0361748,g09
tt0102926,g02
tt0102926,g00
tt0102926,g06
tt0993846,g10
tt0993846,g11
tt0993846,g02
tt0120815,g00
tt0120815,g09
tt0848228,g01
tt0848228,g04
tt0108052,g10
tt0108052,g00
tt0108052,g12
tt0482571,g00
tt0482571,g07
tt0482571,g04
tt1130884,g07
tt1130884,g06
tt7286456,g02
tt7286456,g00
tt7286456,g06
tt0407887,g02
tt0407887,g00
tt0407887,g06
tt0499549,g01
tt0499549,g03
tt0499549,g13
tt0120689,g02
tt0120689,g00
tt0120689,g13
tt0209144,g07
tt0209144,g06
tt2015381,g01
tt2015381,g03
tt2015381,g11
tt0120338,g00
tt0120338,g05
tt0099685,g10
tt0099685,g02
tt0099685,g00
tt0110413,g01
tt0110413,g02
tt0110413,g00
tt4154796,g01
tt4154796,g03
tt4154796,g00
tt0169547,g00
tt0325980,g01
tt0325980,g03
tt0325980,g13
tt0910970,g03
tt0910970,g14
tt0910970,g15
tt0120586,g02
tt0120586,g00
tt0266697,g01
tt0266697,g02
tt0266697,g00
tt0434409,g01
tt0434409,g00
tt0434409,g04
tt4154756,g01
tt4154756,g03
tt4154756,g04
tt0103064,g01
tt0103064,g04
tt0120382,g11
tt0120382,g00
tt0114814,g02
tt0114814,g00
tt0114814,g07
tt0110357,g03
tt0110357,g14
tt0110357,g00
tt0371746,g01
tt0371746,g03
tt0371746,g04
tt1049413,g03
tt1049413,g14
tt1049413,g11
tt1431045,g01
tt1431045,g11
tt0266543,g03
tt0266543,g14
tt0266543,g11
tt0112573,g10
tt0112573,g00
tt0112573,g12
tt0105236,g02
tt0105236,g06
tt0338013,g00
tt0338013,g05
tt0338013,g04
tt1392190,g01
tt1392190,g03
tt1392190,g04
tt0264464,g10
tt0264464,g02
tt0264464,g00
tt0114709,g03
tt0114709,g14
tt0114709,g11
tt0107290,g01
tt0107290,g03
tt0107290,g04
tt0167404,g00
tt0167404,g07
tt0167404,g06
tt2267998,g00
tt2267998,g07
tt2267998,g06
tt0119217,g00
tt0119217,g05
tt0477348,g02
tt0477348,g00
tt0477348,g06
tt0268978,g10
tt0268978,g00
tt1392170,g01
tt1392170,g03
tt1392170,g04
tt2488496,g01
tt2488496,g03
tt2488496,g04
tt0198781,g03
tt0198781,g14
tt0198781,g11
tt2582802,g00
tt2582802,g16
tt1201607,g03
tt1201607,g15
tt1201607,g13
tt2395427,g01
tt2395427,g03
tt2395427,g04
tt1675434,g10
tt1675434,g11
tt1675434,g00
tt3659388,g03
tt3659388,g00
tt3659388,g04
tt0208092,g11
tt0208092,g02
tt1300854,g01
tt1300854,g03
tt1300854,g04
tt0800369,g01
tt0800369,g13
tt1843866,g01
tt1843866,g03
tt1843866,g04
tt0458339,g01
tt0458339,g03
tt0458339,g04
tt0180093,g00
tt1010048,g02
tt1010048,g00
tt1010048,g05
tt6751668,g00
tt6751668,g06
tt0253474,g10
tt0253474,g00
tt0253474,g16
tt0435761,g03
tt0435761,g14
tt0435761,g11
tt0903624,g03
tt0903624,g13
tt1454468,g00
tt1454468,g04
tt1454468,g06
tt2278388,g03
tt2278388,g11
tt2278388,g02
tt0145487,g01
tt0145487,g03
tt0145487,g04
tt1228705,g01
tt1228705,g04
tt0416449,g01
tt0416449,g00
tt1663202,g01
tt1663202,g03
tt1663202,g00
tt0118715,g11
tt0118715,g02
tt0120915,g01
tt0120915,g03
tt0120915,g13
tt0246578,g00
tt0246578,g07
tt0246578,g04
tt3498820,g01
tt3498820,g04
tt0121766,g01
tt0121766,g03
tt0121766,g13
tt0241527,g03
tt0241527,g15
tt0241527,g13
tt1119646,g11
tt1825683,g01
tt1825683,g03
tt1825683,g04
tt10872600,g01
tt10872600,g03
tt10872600,g13
tt0245429,g03
tt0245429,g14
tt0245429,g15
tt1205489,g00
tt2084970,g10
tt2084970,g00
tt2084970,g06
tt0947798,g00
tt0947798,g06
tt3315342,g01
tt3315342,g00
tt3315342,g04
tt0770828,g01
tt0770828,g03
tt0770828,g04
tt0480249,g01
tt0480249,g00
tt0480249,g17
tt7131622,g11
tt7131622,g00
tt0401792,g02
tt0401792,g06
tt3501632,g01
tt3501632,g03
tt3501632,g11
tt0378194,g01
tt0378194,g02
tt0378194,g06
tt0317248,g02
tt0317248,g00
tt0211915,g11
tt0211915,g05
tt0382932,g03
tt0382932,g14
tt0382932,g11
tt1211837,g01
tt1211837,g03
tt1211837,g13
tt0317705,g01
tt0317705,g03
tt0317705,g14
tt0892769,g01
tt0892769,g03
tt0892769,g14
tt1392214,g02
tt1392214,g00
tt1392214,g07
tt2096673,g03
tt2096673,g14
tt2096673,g11
tt0383574,g01
tt0383574,g03
tt0383574,g13
tt0121765,g01
tt0121765,g03
tt0121765,g13
tt8946378,g11
tt8946378,g02
tt8946378,g00
tt1877832,g01
tt1877832,g03
tt1877832,g04
tt1285016,g10
tt1285016,g00
tt1045658,g11
tt1045658,g00
tt1045658,g05
tt2543164,g00
tt2543164,g07
tt2543164,g04
tt3896198,g01
tt3896198,g03
tt3896198,g11
tt2024544,g10
tt2024544,g00
tt2024544,g12
tt2975590,g01
tt2975590,g03
tt2975590,g04
tt0118799,g11
tt0118799,g00
tt0118799,g05
tt1074638,g01
tt1074638,g03
tt1074638,g06
tt1270798,g01
tt1270798,g04
tt1877830,g01
tt1877830,g02
tt1877830,g00
tt0117951,g00
tt0126029,g03
tt0126029,g14
tt0126029,g11
tt0405159,g00
tt0405159,g18
tt1981115,g01
tt1981115,g03
tt1981115,g13
tt1631867,g01
tt1631867,g03
tt1631867,g04
tt1386697,g01
tt1386697,g03
tt1386697,g13
tt2911666,g01
tt2911666,g02
tt2911666,g06
tt1136608,g01
tt1136608,g04
tt1136608,g06
tt0478970,g01
tt0478970,g11
tt0478970,g04
tt0116282,g02
tt0116282,g06
tt1504320,g10
tt1504320,g00
tt1504320,g12
tt0816711,g01
tt0816711,g03
tt0816711,g17
tt2802144,g01
tt2802144,g03
tt2802144,g11
tt1951264,g01
tt1951264,g03
tt1951264,g04
tt5013056,g01
tt5013056,g00
tt5013056,g12
tt2250912,g01
tt2250912,g03
tt2250912,g04
tt1160419,g01
tt1160419,g03
tt1160419,g00
tt0457430,g00
tt0457430,g13
tt0457430,g09
tt1170358,g13
tt1670345,g02
tt1670345,g07
tt1670345,g06
tt0113277,g01
tt0113277,g02
tt0113277,g00
tt0451279,g01
tt0451279,g03
tt0451279,g13
tt0316654,g01
tt0316654,g03
tt0316654,g04
tt0948470,g01
tt0948470,g03
tt0948470,g04
tt0381061,g01
tt0381061,g03
tt0381061,g06
tt0421715,g00
tt0421715,g13
tt0421715,g05
tt0449088,g01
tt0449088,g03
tt0449088,g13
tt0780504,g01
tt0780504,g00
tt3748528,g01
tt3748528,g03
tt3748528,g04
tt0144084,g02
tt0144084,g00
tt0144084,g17
tt0295297,g03
tt0295297,g15
tt0295297,g13
tt0369610,g01
tt0369610,g03
tt0369610,g04
tt0304141,g03
tt0304141,g15
tt0304141,g13
tt0418279,g01
tt0418279,g03
tt0418279,g04
tt0107048,g11
tt0107048,g00
tt0107048,g13
tt0988045,g01
tt0988045,g03
tt0988045,g07
tt2527336,g01
tt2527336,g03
tt2527336,g13
tt0330373,g03
tt0330373,g15
tt0330373,g13
tt2562232,g11
tt2562232,g00
tt0454876,g03
tt0454876,g00
tt0454876,g13
tt0440963,g01
tt0440963,g07
tt0440963,g06
tt5052448,g17
tt5052448,g07
tt5052448,g06
tt2294629,g03
tt2294629,g14
tt2294629,g11
tt1798709,g00
tt1798709,g05
tt1798709,g04
tt0758758,g03
tt0758758,g10
tt0758758,g00
tt1637725,g11
tt0114746,g07
tt0114746,g04
tt0114746,g06
tt0120903,g01
tt0120903,g03
tt0120903,g04
tt1024648,g10
tt1024648,g00
tt1024648,g06
tt3460252,g02
tt3460252,g00
tt3460252,g07
tt8579674,g01
tt8579674,g00
tt8579674,g09
tt1446714,g03
tt1446714,g07
tt1446714,g04
tt3783958,g11
tt3783958,g00
tt3783958,g16
tt0936501,g01
tt0936501,g02
tt0936501,g06
tt0796366,g01
tt0796366,g03
tt0796366,g04
tt0162222,g03
tt0162222,g00
tt0162222,g05
tt0234215,g01
tt0234215,g04
tt0413300,g01
tt0413300,g03
tt0413300,g04
tt5463162,g01
tt5463162,g03
tt5463162,g11
tt1856101,g01
tt1856101,g00
tt1856101,g07
tt0099785,g11
tt0099785,g15
tt0469494,g00
tt0373889,g01
tt0373889,g03
tt0373889,g15
tt0829482,g11
tt0364569,g01
tt0364569,g00
tt0364569,g07
tt0120363,g03
tt0120363,g14
tt0120363,g11
tt1156398,g01
tt1156398,g11
tt1156398,g17
tt0120735,g01
tt0120735,g11
tt0120735,g02
tt1745960,g01
tt1745960,g00
tt0119488,g02
tt0119488,g00
tt0119488,g07
tt0240772,g02
tt0240772,g06
tt1219289,g04
tt1219289,g06
tt0332280,g00
tt0332280,g05
tt1276104,g01
tt1276104,g00
tt1276104,g04
tt0116629,g01
tt0116629,g03
tt0116629,g04
tt0119654,g01
tt0119654,g03
tt0119654,g11
tt4633694,g01
tt4633694,g03
tt4633694,g14
tt4154664,g01
tt4154664,g03
tt4154664,g04
tt1250777,g01
tt1250777,g11
tt1250777,g02
tt1232829,g01
tt1232829,g11
tt1232829,g02
tt0365748,g11
tt0365748,g17
tt2872718,g02
tt2872718,g00
tt2872718,g06
tt1396484,g17
tt10811166,g00
tt0926084,g03
tt0926084,g15
tt0926084,g13
tt3890160,g01
tt3890160,g02
tt3890160,g00
tt1343092,g00
tt1343092,g05
tt0181689,g01
tt0181689,g02
tt0181689,g07
tt0417741,g01
tt0417741,g03
tt0417741,g15
tt0450259,g03
tt0450259,g00
tt0450259,g06
tt0409459,g01
tt0409459,g00
tt0409459,g07
tt0470752,g00
tt0470752,g04
tt0470752,g06
tt0443706,g02
tt0443706,g00
tt0443706,g07
tt1323594,g03
tt1323594,g14
tt1323594,g11
tt0290334,g01
tt0290334,g04
tt0290334,g06
tt0258463,g01
tt0258463,g07
tt0258463,g06
tt11286314,g11
tt11286314,g00
tt11286314,g04
tt1727824,g10
tt1727824,g00
tt1727824,g16
tt0343818,g01
tt0343818,g07
tt0343818,g04
tt2119532,g10
tt2119532,g00
tt2119532,g12
tt6644200,g00
tt6644200,g17
tt6644200,g04
tt0332452,g00
tt2310332,g03
tt2310332,g13
tt1298650,g01
tt1298650,g03
tt1298650,g13
tt1318514,g01
tt1318514,g00
tt1318514,g04
tt1483013,g01
tt1483013,g03
tt1483013,g04
tt2380307,g03
tt2380307,g14
tt2380307,g11
tt0112641,g02
tt0112641,g00
tt1570728,g11
tt1570728,g00
tt1570728,g05
tt0467406,g11
tt0467406,g00
tt6723592,g01
tt6723592,g04
tt6723592,g06
tt0454921,g10
tt0454921,g00
tt1022603,g11
tt1022603,g00
tt1022603,g05
tt0945513,g01
tt0945513,g00
tt0945513,g07
tt0376994,g01
tt0376994,g03
tt0376994,g04
tt1659337,g00
tt5027774,g11
tt5027774,g02
tt5027774,g00
tt0242653,g01
tt0242653,g04
tt1457767,g17
tt1457767,g07
tt1457767,g06
tt6966692,g10
tt6966692,g11
tt6966692,g00
tt4972582,g17
tt4972582,g06
tt6320628,g01
tt6320628,g03
tt6320628,g11
tt0425112,g01
tt0425112,g11
tt0425112,g07
tt2948356,g03
tt2948356,g14
tt2948356,g11
tt0458525,g01
tt0458525,g04
tt1411697,g11
tt1872181,g01
tt1872181,g03
tt1872181,g04
tt1663662,g01
tt1663662,g03
tt1663662,g04
tt2713180,g01
tt2713180,g00
tt2713180,g09
tt0356910,g01
tt0356910,g11
tt0356910,g02
tt2872732,g01
tt2872732,g04
tt2872732,g06
tt0206634,g01
tt0206634,g00
tt0206634,g04
tt1270797,g01
tt1270797,g03
tt1270797,g04
tt0800080,g01
tt0800080,g03
tt0800080,g04
tt2179136,g01
tt2179136,g10
tt2179136,g00
tt0314331,g11
tt0314331,g00
tt0314331,g05
tt0099487,g00
tt0099487,g13
tt0099487,g05
tt0289879,g00
tt0289879,g04
tt0289879,g06
tt1229238,g01
tt1229238,g03
tt1229238,g06
tt0790636,g10
tt0790636,g00
tt0367594,g03
tt0367594,g11
tt0367594,g15
tt0268380,g03
tt0268380,g14
tt0268380,g11
tt0449059,g11
tt0449059,g00
tt0448157,g01
tt0448157,g11
tt0448157,g00
tt1477834,g01
tt1477834,g03
tt1477834,g13
tt1979320,g01
tt1979320,g10
tt1979320,g00
tt0441773,g01
tt0441773,g03
tt0441773,g14
tt1408101,g01
tt1408101,g03
tt1408101,g04
tt1800241,g02
tt1800241,g00
