movieID,actorID
tt12996154,nm8747119
tt2309260,nm2258992
tt0481797,nm0487884
tt0318462,nm0608187
tt1213663,nm0670408
tt1186367,nm0365140
tt3062096,nm0004936
tt1571222,nm0001557
tt0189584,nm0004906
tt11783766,nm2410391
tt7070818,nm0001143
tt4769836,nm1063517
tt0449999,nm0451321
tt0112541,nm0001683
tt0195945,nm0682399
tt14592948,nm1003081
tt0458481,nm0000982
tt0405743,nm0863302
tt11681250,nm0121620
tt11827628,nm0000553
tt9231040,nm0277547
tt1206543,nm0000437
tt1308728,nm0748973
tt0375679,nm0628601
tt2382320,nm2244205
tt3672840,nm0004778
tt1977895,nm1977378
tt0120434,nm0000331
tt1037218,nm0931404
tt1017464,nm0582462
tt3863552,nm7372970
tt9139586,nm1939016
tt6304046,nm2717241
tt5315210,nm11633473
tt6820256,nm5386550
tt0229260,nm0877874
tt4465564,nm0425053
tt10307440,nm0064669
tt0481369,nm0000120
tt1894476,nm1126657
tt0187393,nm0005042
tt1615147,nm0001804
tt0454876,nm0451234
tt0107206,nm0001518
tt0201265,nm0263905
tt2471640,nm5384553
tt11909878,nm0000541
tt3824648,nm11425368
tt0239395,nm0001497
tt1087578,nm0622407
tt6738136,nm0173003
tt7349950,nm0352778
tt3321300,nm1183224
tt8143990,nm0939697
tt8442644,nm7487575
tt0976060,nm0297858
tt0130236,nm0360481
tt1865569,nm0869290
tt3152592,nm0287182
tt1198101,nm0605224
tt0119115,nm0000177
tt10223460,nm0005562
tt3385516,nm1055413
tt0365957,nm1212896
tt0377818,nm0005433
tt8236336,nm0000906
tt1242599,nm1759942
tt0105121,nm0010781
tt1343727,nm0939943
tt0372334,nm0000141
tt1125849,nm0000673
tt7979580,nm1144419
tt1318044,nm1564087
tt1770734,nm0318821
tt1730768,nm7666861
tt0120703,nm0000291
tt3567288,nm0574513
tt0116860,nm0081449
tt0104114,nm0000552
tt13468976,nm0893449
tt2771372,nm0068338
tt7638344,nm9427099
tt0107808,nm0000142
tt10333912,nm4731677
tt1031280,nm0924154
tt1650043,nm2325393
tt5503686,nm0000182
tt0119114,nm0345291
tt3318750,nm1802209
tt3322892,nm4922528
tt0151804,nm0379114
tt21106646,nm8747119
tt0276830,nm0000496
tt1032755,nm0124930
tt0120776,nm0000250
tt0216651,nm0283253
tt0151137,nm0000170
tt5462602,nm0005380
tt0964587,nm1506908
tt1100089,nm0136797
tt0870204,nm0005109
tt9531772,nm0474774
tt8633464,nm5093708
tt1653690,nm1033693
tt13650600,nm4248775
tt1728196,nm2098603
tt1175709,nm0000379
tt0384116,nm0349777
tt6988116,nm1017633
tt0202470,nm0000242
tt1758830,nm2654829
tt2231253,nm0005458
tt1990314,nm0000239
tt4728338,nm7375606
tt1386925,nm0293567
tt0311113,nm0195439
tt2103217,nm1325248
tt0116905,nm0579116
tt0200720,nm0000101
tt0327597,nm0266824
tt0110478,nm0000149
tt1615065,nm1093951
tt1561768,nm1686684
tt1138489,nm0000201
tt0274711,nm0641939
tt0364045,nm0001687
tt3682448,nm0000257
tt0396184,nm1795793
tt1582519,nm2011932
tt4532038,nm0000134
tt2503154,nm2385935
tt1862079,nm0243233
tt2085930,nm0233381
tt4387040,nm1122912
tt0381966,nm0132631
tt0326835,nm0195439
tt4645330,nm0001838
tt0879870,nm0000210
tt9495224,nm1546686
tt3797512,nm0915458
tt1932718,nm0000569
tt3458510,nm3381295
tt0155722,nm0227958
tt4976192,nm3691729
tt0152930,nm0332659
tt0118632,nm0021112
tt3722614,nm1195855
tt5715410,nm0015924
tt3137630,nm0315041
tt0120667,nm0004821
tt0758730,nm0043855
tt6439558,nm7301510
tt0101757,nm0000775
